ablation,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_full,regret_to_full_ci95,groups
full_mechanism_coverage_gap_audit,0.634167,0.013241,0.634027,0.000511,0.709452,0.01264,0.67673,0.000865,0.561978,0.000597,0.012433,0.000183,0.054841,0.000378,0.029137,0.000147,0.103384,7.9e-05,0.195772,0.0,0.125341,0.0,0.03585,0.000295,0.045469,0.000152,0.039299,0.000291,0.02857,0.00012,0.068132,0.000284,0.0,0.0,10
minus_mechanism_taxonomy,0.578125,0.014587,0.585227,0.000433,0.622214,0.014212,0.503057,0.000374,0.480817,0.000427,0.042324,0.000317,0.06554,0.000275,0.032112,0.000173,0.129861,0.000224,0.191059,0.0,0.122414,0.0,0.037088,0.000127,0.050165,0.000134,0.041964,0.000187,0.032985,0.00015,0.107535,0.000441,0.157374,0.016901,10
minus_modality_axis,0.599792,0.015785,0.602367,0.000373,0.65882,0.016199,0.595766,0.000531,0.496017,0.000612,0.030857,0.000217,0.064794,0.000225,0.032037,0.000226,0.114809,0.000213,0.180759,0.0,0.120414,0.0,0.037212,0.000119,0.049883,0.000202,0.041846,0.000184,0.032073,0.000122,0.095471,0.000371,0.138015,0.014222,10
minus_recovery_axis,0.595208,0.014508,0.599396,0.000379,0.651585,0.014173,0.600883,0.000931,0.458637,0.000799,0.032585,0.00026,0.07009,0.000294,0.0323,0.00023,0.11505,0.000148,0.180759,0.0,0.120414,0.0,0.037113,0.000279,0.049966,0.000134,0.041672,0.000226,0.03225,0.00014,0.101302,0.00038,0.138103,0.012714,10
minus_schema_alignment,0.604583,0.015118,0.605254,0.000386,0.667092,0.015093,0.619146,0.000476,0.530437,0.000772,0.030804,0.000187,0.064604,0.000236,0.039371,0.000189,0.114656,0.000152,0.178759,0.0,0.122814,0.0,0.037254,0.000183,0.068906,0.000233,0.041902,0.00015,0.033706,0.000134,0.098942,0.000324,0.125249,0.00861,10
minus_provenance_filter,0.606042,0.011231,0.613256,0.000387,0.671963,0.011511,0.627714,0.00064,0.530897,0.000413,0.023913,0.000233,0.064063,0.000103,0.03237,0.000183,0.114933,0.000243,0.174759,0.0,0.118039,0.0,0.0413,0.000162,0.051009,0.000239,0.05222,0.000124,0.032427,0.000148,0.088145,0.000246,0.126896,0.012207,10
minus_label_quality_model,0.605417,0.012009,0.608106,0.000285,0.669953,0.01144,0.640943,0.000864,0.53025,0.000791,0.036167,0.000268,0.065291,0.000162,0.03594,0.000209,0.114958,0.000226,0.178559,0.0,0.117333,0.0,0.048047,0.00022,0.050706,0.000334,0.05868,0.000172,0.033753,0.00019,0.103105,0.000359,0.126204,0.012233,10
minus_tail_risk_estimator,0.599792,0.006708,0.592796,0.000596,0.64452,0.007482,0.610196,0.000935,0.425463,0.000816,0.048049,0.000262,0.119262,0.000356,0.042095,0.000207,0.114858,0.000193,0.17723,0.0,0.116414,0.0,0.037381,0.000161,0.050854,0.000192,0.041829,0.000214,0.034092,0.000207,0.158543,0.000469,0.1448,0.011411,10
minus_redundancy_penalty,0.603333,0.018141,0.613642,0.000273,0.667723,0.01772,0.641494,0.000501,0.530847,0.0007,0.022786,0.000311,0.063736,0.000341,0.031932,0.000195,0.182828,0.000178,0.181346,0.0,0.112414,0.0,0.037258,0.000219,0.051029,0.000142,0.041672,0.000277,0.032173,0.000169,0.086554,0.000496,0.131844,0.014399,10
v4_mechanism_coverage,0.586875,0.016402,0.579094,0.000638,0.635406,0.016164,0.588478,0.000482,0.489501,0.000513,0.040883,0.000313,0.074131,0.000259,0.037065,0.000235,0.126494,0.000233,0.234446,0.0,0.154065,0.0,0.042964,0.000146,0.058029,0.000188,0.05224,0.000167,0.035523,0.000122,0.115013,0.000378,0.151563,0.011544,10
