baseline,mean_fixed_risk_utility_diff,ci95_fixed_risk_utility_diff,wins,total,decision,risk_budget,strongest_non_oracle
causal_feature_coverage_selection,0.174752,0.014666,10,10,proposed_better,0.062,False
dataset_card_compliance_selection,0.225674,0.017072,10,10,proposed_better,0.062,False
domain_mix_robust_selection,0.205554,0.01592,10,10,proposed_better,0.062,False
embedding_diversity_selection,0.232979,0.015764,10,10,proposed_better,0.062,False
embodiment_count_selection,0.232979,0.015764,10,10,proposed_better,0.062,False
failure_prediction_selection,0.202584,0.01873,10,10,proposed_better,0.062,False
label_quality_first_selection,0.192229,0.016162,10,10,proposed_better,0.062,False
oracle_mechanism_labeled_selector,-0.571399,0.019765,0,10,not_decisive,0.062,False
proposed_mechanism_coverage_audit_v4,0.163222,0.014661,10,10,proposed_better,0.062,True
random_balanced_selection,0.232979,0.015764,10,10,proposed_better,0.062,False
safety_event_mining_selection,0.178831,0.014565,10,10,proposed_better,0.062,False
task_count_selection,0.232979,0.015764,10,10,proposed_better,0.062,False
trajectory_count_selection,0.232979,0.015764,10,10,proposed_better,0.062,False
uncertainty_sampling,0.228647,0.016821,10,10,proposed_better,0.062,False
value_of_information_active_selection,0.199339,0.019033,10,10,proposed_better,0.062,False
causal_feature_coverage_selection,0.250758,0.021788,10,10,proposed_better,0.066,False
dataset_card_compliance_selection,0.292536,0.019395,10,10,proposed_better,0.066,False
domain_mix_robust_selection,0.272309,0.0168,10,10,proposed_better,0.066,False
embedding_diversity_selection,0.313345,0.019424,10,10,proposed_better,0.066,False
embodiment_count_selection,0.314412,0.019444,10,10,proposed_better,0.066,False
failure_prediction_selection,0.259786,0.01733,10,10,proposed_better,0.066,False
label_quality_first_selection,0.26065,0.020102,10,10,proposed_better,0.066,False
oracle_mechanism_labeled_selector,-0.491869,0.022971,0,10,not_decisive,0.066,False
proposed_mechanism_coverage_audit_v4,0.244655,0.018934,10,10,proposed_better,0.066,True
random_balanced_selection,0.314412,0.019444,10,10,proposed_better,0.066,False
safety_event_mining_selection,0.258911,0.01673,10,10,proposed_better,0.066,False
task_count_selection,0.314412,0.019444,10,10,proposed_better,0.066,False
trajectory_count_selection,0.314412,0.019444,10,10,proposed_better,0.066,False
uncertainty_sampling,0.302847,0.021223,10,10,proposed_better,0.066,False
value_of_information_active_selection,0.269287,0.019827,10,10,proposed_better,0.066,False
causal_feature_coverage_selection,0.347306,0.017936,10,10,proposed_better,0.07,False
dataset_card_compliance_selection,0.377888,0.01846,10,10,proposed_better,0.07,False
domain_mix_robust_selection,0.35212,0.01622,10,10,proposed_better,0.07,False
embedding_diversity_selection,0.409893,0.016205,10,10,proposed_better,0.07,False
embodiment_count_selection,0.410961,0.016318,10,10,proposed_better,0.07,False
failure_prediction_selection,0.349462,0.013842,10,10,proposed_better,0.07,False
label_quality_first_selection,0.350862,0.017296,10,10,proposed_better,0.07,False
oracle_mechanism_labeled_selector,-0.39532,0.020087,0,10,not_decisive,0.07,False
proposed_mechanism_coverage_audit_v4,0.341204,0.015674,10,10,proposed_better,0.07,True
random_balanced_selection,0.410961,0.016318,10,10,proposed_better,0.07,False
safety_event_mining_selection,0.354367,0.013594,10,10,proposed_better,0.07,False
task_count_selection,0.410961,0.016318,10,10,proposed_better,0.07,False
trajectory_count_selection,0.410961,0.016318,10,10,proposed_better,0.07,False
uncertainty_sampling,0.388517,0.017137,10,10,proposed_better,0.07,False
value_of_information_active_selection,0.357014,0.01765,10,10,proposed_better,0.07,False
causal_feature_coverage_selection,0.441021,0.018653,10,10,proposed_better,0.074,False
dataset_card_compliance_selection,0.457954,0.020293,10,10,proposed_better,0.074,False
domain_mix_robust_selection,0.445799,0.017185,10,10,proposed_better,0.074,False
embedding_diversity_selection,0.502531,0.01793,10,10,proposed_better,0.074,False
embodiment_count_selection,0.505778,0.017182,10,10,proposed_better,0.074,False
failure_prediction_selection,0.442728,0.0165,10,10,proposed_better,0.074,False
label_quality_first_selection,0.444571,0.018251,10,10,proposed_better,0.074,False
oracle_mechanism_labeled_selector,-0.300503,0.020109,0,10,not_decisive,0.074,False
proposed_mechanism_coverage_audit_v4,0.436021,0.017394,10,10,proposed_better,0.074,True
random_balanced_selection,0.50514,0.017075,10,10,proposed_better,0.074,False
safety_event_mining_selection,0.449185,0.014033,10,10,proposed_better,0.074,False
task_count_selection,0.505778,0.017182,10,10,proposed_better,0.074,False
trajectory_count_selection,0.505778,0.017182,10,10,proposed_better,0.074,False
uncertainty_sampling,0.47377,0.019062,10,10,proposed_better,0.074,False
value_of_information_active_selection,0.446522,0.017191,10,10,proposed_better,0.074,False
